Realnex Key,Search Address
40025452-6FFF-4880-A1A1-595DFA66C710,2322  Parker Rd
40AFDC3D-4E4E-43F2-9CAE-64DBF375DC66,2821  Carlisle St Apt 329
420549D1-996C-411C-A71A-45C79FA2B030,27515  Highway 290 Fwy
42B39376-EF65-4A44-8C0D-AC4462058489,22824  Hufsmith - Kohrville Road
43145DE2-A0F4-40C8-84E3-921757A7803F,22465  State Highway 249
432572FC-E937-4DCF-80BB-17137ED899A2,17633  Telge Rd Bldg 1
43AD3BEB-B7C6-4BDF-B0DF-35B7FCA30C92,13113  Noack Rd
43CE7BFD-78A9-409F-9A0D-ABF2D982810E,38900  Fm 1774 Rd
43D07803-D274-4F49-B093-A2FD7FDD50F8,300 W Main St
43E43842-5178-4B18-870E-E4AAFB3C2D18,  Po Box
12424296-1962-4EA9-903D-E36D0981D3C5,2009  Hillview Rd
12660E6D-250C-490A-A6AF-86C3BF3E9FED,13325 N Dr
1369D574-32A9-4606-803A-911F763B72C0,30355  Old Hockley Rd
13A80FB5-80BC-4C27-96C2-442EC28E4205,1701  Cypress Creek Pkwy
14FDC896-2409-4423-AB84-22D645B5C395,26614 N Barnett St
15C45D59-BFC9-4C04-AA17-4DB207A87EBB,12  Santa Anita
162F7190-C971-49A1-BCCF-496B59A23539,27760  State Highway 249
16A74A55-67B3-4D54-ADBE-FD98EEDE76A3,6871  County Rd 301
17801810-D002-4C72-8FD5-E89A2A82C849,21818  Michael Dr
17E0343F-1341-411E-82F8-E2F933784E3B,21005  Interstate 45
1824E5F0-37C1-4507-9CF6-3E0E2D40AE6F,410 E Main St
1834F56F-9E6A-4DDA-90CF-4B6C02F02DFB,28623  Fm 249
19D8590B-D9EA-4A93-B0A3-0C1E3E27FD87,22400  State Highway 249
1B62CC93-E869-48EA-8024-5B6DF365E0EB,9715  Market St Rd
1C6A35FD-89AC-4F6A-BEC7-2425B7444B85,9078  Cudlipp Ave
1C6EB303-58CC-419B-A15A-E6920E278DA6,9070  Gleannloch Forest Drive
27BDCC6B-CF8E-4059-A4D9-23820E700DEE,23  Grns Shade
27EBCAC1-E59C-4D7B-9A6F-85DBE63D678B,748  Water Vw Dr
28495ECE-4F73-48B6-BAB8-249D7D68ECE8,10339  Cascade Hls
2863D438-472E-4D4C-8A2B-B57BA4B17818,22828  Huffsmith Kohrville Rd
28DC25C7-67D4-4621-8E5E-9A44C7E18389,1302  Cypress Creek Pkwy
290267D9-547C-4F3C-A292-4858A84CE469,19433  T C Jester Blvd
2964B562-58C5-4BA9-9C8A-FDF3CF31737F,17750 N Hwy 59
29E5EB5A-FE44-494E-988D-D4DAA6C2BF47,703  Cypress Creek Pkwy
2A260C3F-3DA3-469C-AF22-E2870CCADE74,9940  Woodlands Pkwy
2A2FD88A-AA4D-4D03-AF37-0AB8B568545F,2204  Cedar St
2B1039FC-A5E3-41A1-9E4D-3817D98D7E11,100 W Main St
2B1CF242-B52E-4FE7-9858-40443A04CA41,8902  Shattuck Cv
2BAFD25D-D6C1-4686-A057-1B2AE60CA221,17210  Country Brk Ln
2BB70AB6-CCAA-464B-9274-2CEE62D44996,7814  58Th St
2C291C23-B6D2-4B97-9B8D-54565E4912AD,2614 E Seaside Dr
2CB84A16-F2B8-4AC0-9835-E8E67F7A3D8B,7410 N Fairbanks
2CF21FD2-F767-461F-807E-F0067329D13C,11709  Boudreaux Rd
2D296592-B02C-4920-8A41-C2C6419338F0,5514  Fm 1488 Rd
2D2FEBDC-74A1-4BA8-8DA3-0411A9C632ED,27405  Fm 2978 Rd
2DFEAC18-8E13-48D5-B8CE-FED0A41AAF37,8300  Ryan Gulch Rd F 106
2E1BF7B6-3355-44FB-89CE-BB5B7B1613AE,  Po Box 261
2E3D8DEB-0079-4CC6-8AE4-1AE44398895A,257  Rio Vis Dr
2E6713AB-9BB2-4FD3-B677-2E84BD137FFF,41615  Woodway St
3108CCEE-4459-4482-856F-C9289B34A219,339  Magnolia Business Park Dr
312DEF36-0245-4C7F-90F8-801407F7BA2F,1769 E Marl Ln
328B6AC6-1B42-4543-893E-76A6F21C8732,87 N Hunters Xing
32B212A5-F9AD-4FF0-98D0-43B282FB3074,9532  Fm 2621
1C84A55C-C2BD-42BA-9C4D-A621B60C1EAD,3092  Frye St
1CAA1E52-A80F-4234-9B1B-6CB3C4F7087A,315 E Main St
1CE7CBBC-383D-466C-9898-A4D3E3B34964,2310  Cypress Creek Pkwy
1E5CFA2C-C93F-4C9C-A8B5-4CE13B2F3672,10940  Fm 1488 Rd
206FFA6A-8F1D-4A06-A84A-70C3149F980C,3000  County Rd 110
20D3184E-5322-4D0E-8D99-6D7687C56460,330  Psge Ln
20DD74AD-7B1D-42EB-8486-C60D46300907,23023  Holly Holw St
20EFFF89-2554-43A0-8842-C16A214B15BE,5110  San Felipe St Unit 161W
219E2A64-EC5D-487D-89B2-70745298444B,507  Commerce St
22739D5D-7DAF-4B69-A475-3F510AE77805,3900  Fm 1488 Rd
228F4CE0-D074-4E67-870D-7AE13CF173E8,  Immediate Occupancy Available in our 3 Midtown Off
2293B4F9-6BDA-4707-8B3C-792205026B5D,1116  Parkstone Dr
22BAFE82-A3CE-49BA-B677-82F5F4F99D71,9996  Woodlands Pkwy
22E500B5-0515-494F-8108-9B04019C97CD,30042  State Highway 249
22F61BCC-9461-4213-8FBC-6AD6B52941E6,6205  6245 Brookhill Dr
239B0F94-3099-46AA-845E-53440BB86CF9,27819  State Highway 249 Pkwy
2439C2BB-F040-4517-9B6B-7A6F07F5F700,8634 N Fairbanks
2453457E-568B-486F-AAB0-8CF580282792,18635  Buddy Riley Blvd
246CE279-3ED3-44FE-BEE4-5E213DBF00D4,  Po Box 9398
247F4779-17B7-45BD-968F-5CA089FB8C6A,5015  Fm 2920 Rd
251E1F1C-DD27-4598-90DC-6CE200547DEA,5103  Holly Ln
25497EB5-6E74-45B9-8D8D-DA9F0F7DDD6A,403  Longmire Rd Apt 241
25DDF7DA-75AD-49BF-A0E6-77B7A8051141,202  Cypresswood Dr
25F88AC7-5F72-472E-92EC-BDF8580371BB,109  Teal Dr
26637CCE-CA37-4FE3-A4C8-6330D70FF0F9,1206  Cypress Creek Pkwy
2686A5E7-63C5-4569-AE5B-04FF67614DB1,3060  College Park Dr
27747688-E87A-4977-8CB2-26612F29235A,8813 N Fairbanks
2791B996-B526-48FA-A1DA-CDDA543B1AC3,2470  Colton Holw Dr
4418CC7A-3EB6-46D7-8070-CC26BF319516,40950  Fm 1774 Rd
44433F2F-B893-4E88-9138-99C84ED1471B,1755  Cypress Creek Pkwy
4444FBB0-B4FA-4761-B600-D9EF87010302,5422  Green Lane
4497D446-DAF5-4831-A8C3-58F95BEA7C67,117 W Holleman Dr
44BCFCCD-7E3E-4136-B073-E290E41F457F,  Po Box 909
44F407E9-3FAD-4411-AA5F-E95B73C75B85,716  County Rd 302
45931CFA-B891-4639-9A60-9977B4561A9B,1209  Lakeway Dr
45B8EC1B-5C37-4EA6-BBC0-7422DDCCECC7,2345 W 17Th St
4640D308-D430-4CE9-9D77-206225850FBA,1325  Cypress Creek Pkwy
4689FD75-9E92-4695-B049-B46427CDE109,38015  Spur 149 Rd
47458387-1285-41EB-9754-05DA36E36871,2318  Cypress Creek Pkwy
4754815A-FC1B-458C-900E-5DC11E7CD806,22924  Nichols Sawmill Rd
47D87290-B7D7-4801-903A-6654E35C4656,36815  Fm 1774 Rd
47FB915C-ACF3-4EF0-984D-B2A43A4B049A,16723  FM 362
48287D0D-33D7-4E4E-AE44-E79D33ECD2E7,31819  Industrial Park Dr
488B1994-29FA-485D-8DC9-BED35D4CD656,  Mchard Rd
490C242E-3B86-496C-A574-5D288E78888A,10020 N Fairbanks
49920F61-0CEC-44EA-961E-623EE2D3DA1C,302 W Main St
49BBE837-4B62-41C5-ADD2-E0CF4AEB04D6,204 E Main St
49DF4D83-C313-4EE8-9E6F-E1D761196656,81  Northgate Dr
4A8578CA-40C6-42D2-BD0E-6E954224D9F9,2989 W US HWY 190
4AB52DF1-800B-4883-8566-F31CB3B15284,31115  Nichols Sawmill Rd
4AD13856-8F1D-4969-8131-1F09331CB8C4,17322  Galloway Frst Dr
4AF7FBC4-187A-41D7-AC79-2BD1EB25F03D,27060  Decker Pr Rosehl Rd
4AFABA71-3017-43EE-B53C-F20D31C29A88,3395  Hwy 281
4B1350C7-0A59-49DF-AD5A-6A898643AF7C,2858  Arbor Spgs Trce
4B29FF10-E3E3-4DD7-8748-12D5B4F27CFB,9210  Shady Ln
4B4678C6-058E-438B-8627-CEC67ACA23DD,54  Mamaw St
0AEAE116-01F5-46BD-BC55-452C5ABE536B,  Po Box 110278
0B3503A0-A850-49F0-AC13-77C008145091,18741  Stuebner Airline Rd
0BBC368B-7790-464F-9813-3132729C6461,33411  Pinehurst Loop
0C0D2E29-7079-4390-B05B-5D401B566396,6529  Cunningham Rd Bldg 18
0C3B2148-6254-44BC-BCEE-C86306DD680E,113  Midiron Rd
0C41EB5F-1547-4195-AE3E-EEC01F3BBAAF,220  Andalusian Way
0C5BBC7B-E933-493C-B87D-EBF0D2D32D4B,29250  SH 249 Business
0CDA0281-BBB2-433C-827D-BDED3209B09F,2400 W Potrero Rd
0CEDF1CE-C3D2-4EC1-B7D5-CBF88A6F68BD,21755 North Freeway
0D2C6756-5F0C-48CD-B69F-2248670DBB79,22445  De Grasse Dr
0D3AD2BB-5C0F-4A79-BF2D-7E4048611AA9,2703  Hollingsworth Pne Ln
0D5DF163-04F1-4451-BB6E-01F0236BB9A5,11  Wincrest Fls Dr
0D9BDD7E-ECB6-40FD-AFD0-99D30051839C,26005  Crown Rnch Blvd
0DCB1875-A1DC-46E1-A0C9-2F5A2523889C,32350  State Highway 249
0E2E7425-A674-4F3B-ACE3-75ACE3A98B60,17711  Memorial Chase Rd
0E4D7D4F-3AE4-4908-B990-84D088558F03,102  Camino Acote
0E516F48-B2DE-4708-BD71-BC5506F03CA1,1253  Bravenec Ln
0F5E4EFE-794C-4238-B1A0-DEEA54D9D9D2,4850  Wright Rd
0F7B22A0-DE60-4C35-8DCA-62F929F5A138,3030  Dunvale Rd Apt 5110
0F8A24F4-05C4-4D8F-A540-9834287027B0,5637  Kiam St Unit B
0F9D3140-FDC0-4B14-8644-DFED6846C395,1  Waterway Ave Apt 1313
0FD55440-41DB-4B71-A005-076B644E0831,2705 E Loma Vis Ave
0FF2B8FE-CCD6-457C-A303-420BEAB0BEE8,1831  Cypress Creek Pkwy
0FFEB37E-E195-4185-98B8-DB92FDBBD847,28  Lk Blf
10013CED-EA8A-4F1E-B14F-1B5892D8482D,8440 N Sam Houston Pkwy
10CC13BB-6535-471F-82B5-9AF3F25626E3,6602  Rippling Holw Dr
11840835-55A6-4821-9CE7-AF2B10B94ED8,7404  Town Ctr Blvd Apt 806
11B403D3-36F6-4510-81EF-3153CBF6C972,247  Oak Hideaway Dr
11D0E791-CC31-4372-8AEC-F61924BB7680,  Po Box 618
692C4165-4A06-4AA2-A3DA-A083AB3397CF,19025  Fm 1488 Rd
69570F7B-E786-4B2B-990A-BF551E25FF36,14215  Spg Pnes Dr
699884DB-3F0F-49A4-8494-C6C1088E6FF6,1503  Betty Jo Dr
69B2A01D-AF6A-4EF1-A317-F7D780BE975C,8430 N Sam Houston Pkwy
69C94F76-0DCE-40D8-87B3-BEDE2D64B1D7,13225  Fm 529 Rd 100200300
69F4795A-8EA5-4E8E-80E1-DA9699BDAC26,3663  Nasa Pkwy Apt 604
6A2B7103-FA18-4984-AE48-561151C21B14,11115  Lilac Mnr Ct
6A4A07A8-5BA9-4540-9B0D-AA1DDF2F1AFD,401 Ne 38Th St
6BE846ED-9905-467C-847A-B6EAD169E780,11040 W Jones Rd
6C1A5CA0-2B99-47A0-9F22-25D54013FB88,4211  Maison Rouge
6C1E8F66-9230-41DC-A033-5868EC17A596,1600  Cypress Creek Pkwy
6C405284-53B1-43A8-AC6E-C36C03E03CF6,7904  Eddie Dr
6C6B683A-2ADD-4524-9F14-AA424931FC05,1080  Atlas Cir
6C879655-ABAD-41FE-8A16-11F6519B878C,8818  Sail Rdg Ln
6C94CDE6-551D-47DF-8B2A-50FBA4A7F66D,26211  Fm 2978 Rd
6C9762D1-E1EC-446C-B820-3C09CF63C2C8,27201  State Hwy 249
6CC1FC58-F404-44A3-85B8-0C511A403D44,1743  Diamond Head Dr
6CC3DBB5-8169-4282-92B5-3F15DAF1E9BC,1502  Brandi Ln
6CCEFDCD-E6F9-4758-9307-5C5477F66641,55 W 25Th St Apt 23C
6CD44A5F-09FE-4766-B018-A3F68FB3A5BD,18260  Fm 1488 Rd
6D09EFC2-17E4-470A-A3C2-F833B7EF9D71,2150  Kagy Gdn Ct
6D4DC2A5-1137-474E-9409-0ADFA5A33F2C,42  Lee
6D5D4154-5DA0-42D6-AD05-68E77FA2C3DE,16670  Stuebner Airline Rd
6E0BD4BC-A697-4DCB-86DC-BB3BB94B006B,10  Pronghorn Pl
6EC9E065-33F7-4600-AD64-559CA073F928,17685  Fm 1488 Rd
6F48E8E6-698E-46B3-B000-9A8D959F0A6B,20515  Interstate 45
6F8AEA0D-8666-470E-852A-34766683E0D0,6620  Raleigh Ct
704A6F7A-155E-4F5B-A533-1D37CBEB9BE2,2101  Milam St
70CC9437-825B-4B1E-BF7B-22FF7611D7A3,9928  Spirehaven Ln
71027C78-65E5-490B-B99F-EBA9CA80A92B,185  Cypresswood Dr
71760C95-04E3-495B-BE9F-FC7C03301237,15880 N HIGHWAY 75
72336BD0-89D4-40EB-BBB6-8C97A8E9DBCC,1631  Cypress Creek Pkwy
731C79CA-ACBC-4CC0-BFAF-9EA6F707490E,22  Half Moon
733220E5-9861-4514-B7F8-A3CAA293CBE0,8090  Essen Cv
73D8278F-D7D7-4AB5-B202-456898ADF8EC,10515  Kirkwell Mnr Ct
74245563-A682-4175-AF16-DE503FD65359,2200  Louetta Rd
7490E2BA-7B84-49FE-AEFD-F64DFBFA39B3,35335  State Highway 249
74BB04FC-E263-42B0-B3F7-E72F5D41EB31,1004 W Main St
74F909E7-80A8-40CF-8573-3E7AC4A0999C,107  Commerce St
7642A73A-BE15-4497-8996-295C1B0A6D9B,200  Cypresswood Dr
7660AFA6-6792-4DAA-9002-1A9AFDF800FC,8347  Carriage Crk Dr
7740AC49-F7F7-4719-AFE8-1A78C10432F3,2805 West Loop
77875137-56DD-4281-B9BA-7C98C6C6A9A4,8333  Matthews Ln
778D62EE-1BD3-4A15-BD5F-21FEAED61A9B,1760  Cypress Creek Pkwy
77F9606A-342C-443B-A153-DFDFBE9228A1,20502  Misty Xing
780CB42B-B6D4-48B3-AAFF-44FAB5BFFB50,13605  Veterans Memorial Drive
7876DF96-660D-4D15-B806-A7E501040B59,8844 N Sam Houston Pkwy
7B1C1F58-68FF-4BAD-B149-583658FC756E,2212  Harrell-Dwyer Rd
7B647630-8EAC-4366-8DBD-07F0512DF3B6,303  Magnolia Blvd
7BF81BC9-9CAC-4417-95A6-5A4567F7E673,6363  Woodway Dr
7BFACAAF-26BC-420F-A6C0-FE4F9B81E573,2031  Houston Dr
7C0D33BE-EF0B-460B-B5A0-78ECCA0F504D,18620  Fm 1488 Rd
7D050BA8-B9F6-4943-A6EB-9ED6F4505F24,  Po Box 1576
B9739213-3A10-48CD-BDAE-951BF8195D09,37549  Fm 1774 Rd
B9FDA989-59E8-4529-BC1D-C2766A8849ED,25747  Hardin Store Rd
BA0241F4-8715-44C9-8D35-744AAE6D15C7,744  Cypress Creek Pkwy
BA2FEF60-545C-4DE2-828C-499279B9A737,17426  Pinewood Frst Dr
BA813180-C6D5-466A-8375-58748D5F0D5D,2330  Jct Hwy
BB27E36A-ED2C-4B67-8127-12AF5DB008F4,26507  Interstate 45
BB6EC5B4-63E9-4842-9BAA-380BCE31993F,5220  Seawall Blvd 1134B
BBFC8B3B-AF21-4BCD-9427-3B72D1F80025,507  Magnolia Blvd
BC41D2B8-41BC-4269-9952-00D6134C00B7,1991  Cypress Creek Pkwy
BC8D83A0-FC77-40C3-B1AD-FBA07AB238D5,870  Cypress Creek Pkwy
BC99E753-F7A6-46C4-9556-38FCDA281196,11002  Mahaffey Rd
BCA84F82-3CC8-45D3-8777-595DDDF546F7,285  Black Hl Rd
BDA1999C-E8BE-404D-BD82-DABE4F6A680C,38003  Fm 1774 Rd
BE12BA8B-4207-4F4C-B1A7-712F64A19548,21602  Interstate 45
BE17FF0A-F39B-426B-A208-8F031C10A542,2000 W Main St
BE697559-4ACA-4260-ADA3-A615FCE37BAA,10901  Frnt Bch Rd Unit 1510
BE6F738E-9DDB-4413-9AA8-B7422D58985C,24797  Red Oak St
BE85EF4B-CBE0-4C44-BFD4-96993E9CE775,22808  Hufsmith - Kohrville Road
BEA998F8-A266-42E4-BEB4-3896BB9C302A,7906  Scenic Cyn Ln
BEBDB706-8DD7-4889-8B30-80E2C319372F,3500  Paddock Rd
BEC17CFD-4576-46B7-8734-8DD08677AF66,2306  Cypress Creek Pkwy
BF5C4007-99EE-4285-AABE-9C0D59EB02AC,10702 N Old Bammel
C03F2C32-2682-42F9-AF41-F75F1550D5CF,37937  Fm 1774 Rd
C05EB516-B72A-4996-A1A9-C27ACF0765F2,39 S Apple Spgs Cir
A6653160-81A5-47FF-93C7-BA620CB00F49,1816 S Carson Ave Apt 218
A6B22D4D-824A-4168-89F7-8738AA67F6AC,517 N Vine St
A740849F-1CE2-40D5-96A5-FA92F13C3137,11503  Fm 1488 Rd
A7A7E633-F08E-49B0-AB31-79EF8423CFB4,5210  Stonehaven Dr
A7CAF63E-732D-48B0-9BC4-B7C6D8A4C68C,1423  Swiss Alp Hls Loop
A8265EFC-2DE3-46D6-B2E7-37F50F2C3966,32627  Dobbin Huffsmith Rd
A82EB998-4158-4E61-96A3-9994ED3C57D6,6711 N Sam Houston Pkwy
A83B9177-6C23-4676-A32E-A67D354C5568,331  Corporate Wood Dr
A8A58395-B929-4681-A412-1C11658FEC17,335  Cypress Creek Pkwy
A914D973-C448-4931-B335-70ED957749DD,29112  Sky Frst Cir
A919B5D9-5841-4B41-9D2B-9547CDF74517,7425  Carbide Cir
A92C75AD-C7A9-4E9D-8371-3CA1F07D9D12,1246  Moonmist Cir G4
A94ADCCF-96F9-4440-8192-1326195FE661,21703  Interstate 45
AA3382FD-BFA1-4C6D-82F2-1E5BB06D6A9E,4401  Glenwick Ln
AA4E4138-C979-4ECC-AAC5-5064FFC355DF,33103  Glenda Dr
AB116DDC-E4D6-4FAB-A68E-DFC99A891DC5,20  430Th 752
AB1246AA-BB56-44D6-BD1D-1FA21AD478C0,8904  Wedgewood Ave
AB6F725A-03B2-484E-A140-92CA755894D5,  Po Box 2173
AC326D6B-C555-48BE-BF2B-CFCF12E78109,32702  Walnut Creek Rd
AC51D70A-2838-421C-B288-1D83A72A8568,18904  Fm 1488 Rd
AC5E5F41-52C6-4A22-A4DC-BD29DE3F0BF5,302  Cypress Creek Pkwy
AD66E048-53AC-4ED6-B5EF-6D156A982FA2,  Po Box 312
AD9232C5-A883-44D7-A325-1B3D17BB0876,4515  Cyn Dr
AD9799BF-C25F-4833-BC84-C1FB58ED91D8,50  Fm 3278 Road
AE16B96D-8246-49FC-A22D-BA5E5B45F206,14145  Stagecoach Rd
AE5F7DE1-E8A0-4637-9C15-18170372FE09,26503  Peden Rd
AE97D6A4-B342-4D31-ABE3-C82BFD91F795,8032  Cambridge Cir
AED2BBD7-4A15-4E37-9AC9-F08BA8C3BB68,13806  Spg Cypress Rd
9C5F52AB-AA40-4700-8D28-554940BC956A,101 E Main St
9D31DA38-A17B-4A4A-BA3B-1A8863C1DE19,70  Cypress Creek Pkwy
